DISCOVER MILES, DISCOVER MILES, DISCOVER, discover.com, discover.com, High  
NORWEGIAN AIR SHUTTLE ASA NORWEGIAN REWARD, NORWEGIAN REWARD, NORWEGIAN AIR SHUTTLE, norwegianreward.com, norwegian.com, High
OFFICE DEPOT REWARDS, OFFICE DEPOT REWARDS, OFFICE DEPOT, officedepot.com, officedepot.com, High
VIRGIN AUSTRALIA VELOCITY FREQUENT FLYER, VELOCITY FREQUENT FLYER, VIRGIN AUSTRALIA, velocityfrequentflyer.com, virginaustralia.com, High
SHANGRI-LA CIRCLE, SHANGRI-LA CIRCLE, SHANGRI-LA, shangri-la.com, shangri-la.com, High
EVA AIR INFINITY MILEAGELANDS, INFINITY MILEAGELANDS, EVA AIR, evaair.com, evaair.com, High
STAPLES EASY REWARDS, EASY REWARDS, STAPLES, staples.com, staples.com, High
TRIP.COM, TRIP.COM, TRIP.COM, trip.com, trip.com, High
CHEAPOAIR ONE TRAVEL (CLUBMILES, ONE TRAVEL (CLUBMILES), ONETRAVEL / CHEAPOAIR, clubmiles.com, cheapoair.com / onetravel.com, Medium
WESTJET WESTJET REWARDS, WESTJET REWARDS, WESTJET, westjet.com, westjet.com, High
SIXT RENT-A-CAR, SIXT RENT-A-CAR, SIXT, sixt.com, sixt.com, High
EUROSTAR CLUB EUROSTAR, CLUB EUROSTAR, EUROSTAR, eurostar.com, eurostar.com, High
BLOOMINGDALE'S LOYALLIST REWARDS, LOYALLIST REWARDS, BLOOMINGDALE'S, bloomingdales.com, bloomingdales.com, High
TESCO CLUBCARD, CLUBCARD, TESCO, tesco.com, tesco.com, High
COPA AIRLINES CONNECTMILES, CONNECTMILES, COPA AIRLINES, connectmiles.com, copaair.com, High
THAI AIRWAYS ROYAL ORCHID PLUS, ROYAL ORCHID PLUS, THAI AIRWAYS, thaiairways.com, thaiairways.com, High
TARGET CIRCLE, TARGET CIRCLE, TARGET, target.com, target.com, High
MELIÁ MELIÁREWARDS, MELIÁREWARDS, MELIÁ HOTELS INTERNATIONAL, melia.com, melia.com, High
AIR INDIA MAHARAJA CLUB, MAHARAJA CLUB, AIR INDIA, airindia.com, airindia.com, High
AIR CHINA PHOENIXMILES, PHOENIXMILES, AIR CHINA, phoenixmiles.com, airchina.com, High
THE PARKING SPOT THE SPOT CLUB, THE SPOT CLUB, THE PARKING SPOT, theparkingspot.com, theparkingspot.com, High
PETSMART TREATS REWARDS, TREATS REWARDS, PETSMART, petsmart.com, petsmart.com, High
VUELING AIRLINES VUELING CLUB, VUELING CLUB, VUELING, vueling.com, vueling.com, High
SEPHORA BEAUTY INSIDER, BEAUTY INSIDER, SEPHORA, sephora.com, sephora.com, High
ICELANDAIR SAGA CLUB, SAGA CLUB, ICELANDAIR, icelandair.com, icelandair.com, High
SUN COUNTRY AIRLINES SUN COUNTRY REWARDS, SUN COUNTRY REWARDS, SUN COUNTRY AIRLINES, suncountry.com, suncountry.com, High
CHINA AIRLINES DYNASTY FLYER, DYNASTY FLYER, CHINA AIRLINES, china-airlines.com, china-airlines.com, High
CHINA EASTERN EASTERN MILES, EASTERN MILES, CHINA EASTERN, ceair.com, ceair.com, High
CHINA SOUTHERN SKY PEARL, SKY PEARL, CHINA SOUTHERN, csair.com, csair.com, High
BOOTS ADVANTAGE CARD, ADVANTAGE CARD, BOOTS, boots.com, boots.com, High
IKEA FAMILY LOYALTY CARD, IKEA FAMILY, IKEA, ikea.com, ikea.com, High
MY EUROPCAR PRIVILEGE, PRIVILEGE, EUROPCAR, europcar.com, europcar.com, High
DOLLAR RENT A CAR EXPRESS, EXPRESS, DOLLAR RENT A CAR, dollar.com, dollar.com, High
STASH HOTELS REWARDS, STASH REWARDS, STASH HOTELS, stashrewards.com, stashrewards.com, High
HAINAN AIRLINES FORTUNE WINGS CLUB, FORTUNE WINGS CLUB, HAINAN AIRLINES, hnair.com, hainanairlines.com, Medium
EL AL ISRAEL AIRLINES MATMID, MATMID, EL AL, elal.com, elal.com, High
MACY'S STAR REWARDS, STAR REWARDS, MACY'S, macys.com, macys.com, High
MILLENNIUM HOTELS MY MILLENNIUM, MY MILLENNIUM, MILLENNIUM HOTELS, millenniumhotels.com, millenniumhotels.com, High
NORDSTROM THE NORDY CLUB, THE NORDY CLUB, NORDSTROM, nordstrom.com, nordstrom.com, High
WORLD MARKET REWARDS, WORLD MARKET REWARDS, WORLD MARKET, worldmarket.com, worldmarket.com, High
ITA AIRWAYS VOLARE, VOLARE, ITA AIRWAYS, ita-airways.com, ita-airways.com, High
TAJ NEUPASS, EPICURE, THE CHAMBERS, NEUPASS / EPICURE / THE CHAMBERS, TAJ, tajhotels.com, tajhotels.com, Medium
MAKEMYTRIP, MAKEMYTRIP, MAKEMYTRIP, makemytrip.com, makemytrip.com, High
NH HOTEL GROUP NH DISCOVERY, NH DISCOVERY, NH HOTEL GROUP, nh-hotels.com, nh-hotels.com, High
VENETIAN REWARDS, VENETIAN REWARDS, THE VENETIAN, venetianlasvegas.com, venetianlasvegas.com, High
PHILIPPINE AIRLINES MABUHAY MILES, MABUHAY MILES, PHILIPPINE AIRLINES, mabuhaymiles.com, philippineairlines.com, High
BANGKOK AIRWAYS FLYERBONUS, FLYERBONUS, BANGKOK AIRWAYS, bangkokair.com, bangkokair.com, High
VIA RAIL CANADA VIA PRÉFÉRENCE, VIA PRÉFÉRENCE, VIA RAIL CANADA, viarail.ca, viarail.ca, High
SOUTH AFRICAN AIRWAYS VOYAGER, VOYAGER, SOUTH AFRICAN AIRWAYS, flysaa.com, flysaa.com, High
ULTA BEAUTY REWARDS, ULTA BEAUTY REWARDS, ULTA BEAUTY, ulta.com, ulta.com, High
DRURY HOTELS DRURY REWARDS, DRURY REWARDS, DRURY HOTELS, druryhotels.com, druryhotels.com, High
SCANDIC SCANDIC FRIENDS, SCANDIC FRIENDS, SCANDIC, scandichotels.com, scandichotels.com, High
RENFE MÁS RENFE, MÁS RENFE, RENFE, renfe.com, renfe.com, High
SLH INVITED, INVITED, SMALL LUXURY HOTELS OF THE WORLD, slh.com, slh.com, High
VIETNAM AIRLINES LOTUSMILES, LOTUSMILES, VIETNAM AIRLINES, vietnamairlines.com, vietnamairlines.com, High
LHW LEADERS CLUB, LEADERS CLUB, THE LEADING HOTELS OF THE WORLD, lhw.com, lhw.com, High
ETHIOPIAN AIRLINES SHEBAMILES, SHEBAMILES, ETHIOPIAN AIRLINES, ethiopianairlines.com, ethiopianairlines.com, High
LANGHAM BRILLIANT, BRILLIANT, THE LANGHAM HOTELS & RESORTS, langhamhotels.com, langhamhotels.com, High
HILTON GRAND VACATIONS CLUB, HILTON GRAND VACATIONS CLUB, HILTON GRAND VACATIONS, hiltongrandvacations.com, hiltongrandvacations.com, High
FASTPARK & RELAX RELAX FOR REWARDS, RELAX FOR REWARDS, FASTPARK & RELAX, thefastpark.com, thefastpark.com, High
AIR EUROPA SUMA, SUMA, AIR EUROPA, aireuropa.com, aireuropa.com, High
OMAN AIR SINDBAD, SINDBAD, OMAN AIR, omanair.com, omanair.com, High
GULF AIR FALCONFLYER, FALCONFLYER, GULF AIR, gulfair.com, gulfair.com, High
EGYPTAIR EGYPTAIR PLUS, EGYPTAIR PLUS, EGYPTAIR, egyptair.com, egyptair.com, High
ROYAL JORDANIAN AIRLINES ROYAL CLUB, ROYAL CLUB, ROYAL JORDANIAN, rj.com, rj.com, High
RIU RIU CLASS, RIU CLASS, RIU HOTELS & RESORTS, riu.com, riu.com, High
JUMEIRAH JUMEIRAH ONE, JUMEIRAH ONE, JUMEIRAH HOTELS & RESORTS, jumeirah.com, jumeirah.com, High
PARK 'N FLY REWARDS, PARK 'N FLY REWARDS, PARK 'N FLY, pnf.com, pnf.com, High
PEGASUS AIRLINES PEGASUS BOLBOL, PEGASUS BOLBOL, PEGASUS AIRLINES, flypgs.com, flypgs.com, High
FOX RENT A CAR REWARDS, FOX REWARDS, FOX RENT A CAR, foxrentacar.com, foxrentacar.com, High
KENYA AIRWAYS ASANTE REWARDS, ASANTE REWARDS, KENYA AIRWAYS, kenya-airways.com, kenya-airways.com, High
MIDDLE EAST AIRLINES CEDAR MILES, CEDAR MILES, MIDDLE EAST AIRLINES, mea.com.lb, mea.com.lb, High
STARLUX AIRLINES COSMILE, COSMILE, STARLUX AIRLINES, starlux-airlines.com, starlux-airlines.com, High
KUWAIT AIRWAYS OASIS CLUB, OASIS CLUB, KUWAIT AIRWAYS, kuwaitairways.com, kuwaitairways.com, High
AIR TAHITI NUI CLUB TIARE, CLUB TIARE, AIR TAHITI NUI, airtahitinui.com, airtahitinui.com, High
COAST HOTELS COAST REWARDS, COAST REWARDS, COAST HOTELS, coasthotels.com, coasthotels.com, High
FIESTA REWARDS, FIESTA REWARDS, POSADAS / FIESTA AMERICANA, fiestarewards.com, posadas.com, Medium
CARIBBEAN AIRLINES CARIBBEAN MILES, CARIBBEAN MILES, CARIBBEAN AIRLINES, caribbean-airlines.com, caribbean-airlines.com, High
TRIDENT HOTELS TRIDENT PRIVILEGE, TRIDENT PRIVILEGE, TRIDENT HOTELS, tridenthotels.com, tridenthotels.com, High
HONG KONG AIRLINES FORTUNE WINGS CLUB, FORTUNE WINGS CLUB, HONG KONG AIRLINES, hnair.com, hongkongairlines.com, Medium
AIR ASTANA NOMAD CLUB, NOMAD CLUB, AIR ASTANA, airastana.com, airastana.com, High
PREFLIGHT PARKING FREQUENT PARKER, FREQUENT PARKER, PREFLIGHT PARKING, preflightairportparking.com, preflightairportparking.com, High
AIR ARABIA AIRREWARDS, AIRREWARDS, AIR ARABIA, airarabia.com, airarabia.com, High
SJ PRIO, PRIO, SJ, sj.se, sj.se, High
TRUMP HOTELS TRUMP CARD, TRUMP CARD, TRUMP HOTELS, trumphotels.com, trumphotels.com, High
THON HOTELS THON+, THON+, THON HOTELS, thonhotels.com, thonhotels.com, High
CAYMAN AIRWAYS SIR TURTLE REWARDS, SIR TURTLE REWARDS, CAYMAN AIRWAYS, caymanairways.com, caymanairways.com, High
ACE RENT A CAR, ACE RENT A CAR, ACE RENT A CAR, acerentacar.com, acerentacar.com, High
XIAMEN AIRLINES EGRET CLUB, EGRET CLUB, XIAMEN AIRLINES, xiamenair.com, xiamenair.com, High
LEONARDO HOTELS LEONARDO REWARDS, LEONARDO REWARDS, LEONARDO HOTELS, leonardo-hotels.com, leonardo-hotels.com, High
ROTANA REWARDS, ROTANA REWARDS, ROTANA, rotana.com, rotana.com, High
FRASERS HOSPITALITY FRASER WORLD, FRASER WORLD, FRASERS HOSPITALITY, frasershospitality.com, frasershospitality.com, High
WALLYPARK WALLYCLUB, WALLYCLUB, WALLYPARK, wallypark.com, wallypark.com, High
ASCOTT STAR REWARDS, ASCOTT STAR REWARDS, THE ASCOTT LIMITED, discoverasr.com, discoverasr.com, High
JEJU AIR J POINT, J POINT, JEJU AIR, jejuair.net, jejuair.net, High
ELITE HOTELS OF SWEDEN REWARDS, ELITE HOTELS REWARDS, ELITE HOTELS OF SWEDEN, elite.se, elite.se, High
LEONARDO HOTELS ADVANTAGECLUB, ADVANTAGECLUB, LEONARDO HOTELS, leonardo-hotels.com, leonardo-hotels.com, High
ITALO ITALO PIÙ, ITALO PIÙ, ITALO, italotreno.it, italotreno.it, High
WYNN LAS VEGAS WYNN REWARDS, WYNN REWARDS, WYNN LAS VEGAS, wynnlasvegas.com, wynnlasvegas.com, High
ROYAL BRUNEI AIRLINES ROYAL SKIES, ROYAL SKIES, ROYAL BRUNEI AIRLINES, flyroyalbrunei.com, flyroyalbrunei.com, High
FIRST HOTELS FIRST MEMBER, FIRST MEMBER, FIRST HOTELS, firsthotels.com, firsthotels.com, High
AIR MAURITIUS KESTRELFLYER, KESTRELFLYER, AIR MAURITIUS, airmauritius.com, airmauritius.com, High
PARADORES AMIGOS DE PARADORES, AMIGOS DE PARADORES, PARADORES, paradores.es, paradores.es, High
AZERBAIJAN AIRLINES AZAL MILES, AZAL MILES, AZERBAIJAN AIRLINES, azal.az, azal.az, High
BAMBOO AIRWAYS BAMBOO CLUB, BAMBOO CLUB, BAMBOO AIRWAYS, bambooairways.com, bambooairways.com, High
H10 HOTELS CLUB H10, CLUB H10, H10 HOTELS, h10hotels.com, h10hotels.com, High
DAN HOTELS E-DAN CLUB, E-DAN CLUB, DAN HOTELS, danhotels.com, danhotels.com, High
ALAMO DRAFTHOUSE CINEMA ALAMO VICTORY, ALAMO VICTORY, ALAMO DRAFTHOUSE CINEMA, drafthouse.com, drafthouse.com, High
AIR ALGÉRIE AIR ALGÉRIE PLUS, AIR ALGÉRІЕ PLUS, AIR ALGÉRIE, airalgerie.dz, airalgerie.dz, High
BRIGHTLINE, BRIGHTLINE, BRIGHTLINE, gobrightline.com, gobrightline.com, High
NEW OTANI HOTELS NEW OTANI CLUB, NEW OTANI CLUB, NEW OTANI HOTELS, newotani.co.jp, newotani.co.jp, High
JIN JIANG GROUP J-CLUB, J-CLUB, JIN JIANG GROUP, wehotel.com, jinjianghotels.com, Medium
CQ HOTELS CQ REWARDS, CQ REWARDS, CLUB QUARTERS HOTELS, clubquarters.com, clubquarters.com, High
UZBEKISTAN AIRWAYS UZAIRPLUS, UZAIRPLUS, UZBEKISTAN AIRWAYS, uzairways.com, uzairways.com, High
STEIGENBERGER HOTELS H REWARDS, H REWARDS, DEUTSCHE HOSPITALITY / H REWARDS, hrewards.com, deutschehospitality.com, High
TUNISAIR FIDELYS, FIDELYS, TUNISAIR, tunisair.com, tunisair.com, High
MONTCALM HOTELS MYMONTCALM, MYMONTCALM, MONTCALM HOTELS, montcalmcollection.com, montcalmcollection.com, Medium
RWANDAIR DREAM MILES, DREAM MILES, RWANDAIR, rwandair.com, rwandair.com, High
AIR PREMIA PREMIA MEMBERS, PREMIA MEMBERS, AIR PREMIA, airpremia.com, airpremia.com, High
ASKY AIRLINES ASKY CLUB, ASKY CLUB, ASKY AIRLINES, flyasky.com, flyasky.com, High
VIRGIN AUSTRALIA BUSINESS FLYER, BUSINESS FLYER, VIRGIN AUSTRALIA, virginaustralia.com, virginaustralia.com, High
PREMIER HOTELS PREMIER CLUB, PREMIER CLUB, PREMIER HOTELS, premier-hotel.com, premier-hotel.com, Medium
TAAG ANGOLA AIRLINES UMBI UMBI CLUB, UMBI UMBI CLUB, TAAG ANGOLA AIRLINES, taag.com, taag.com, High
REX AIRLINES REX FLYER, REX FLYER, REX AIRLINES, rex.com.au, rex.com.au, High
AIR MOLDOVA CLUB, AIR MOLDOVA CLUB, AIR MOLDOVA, airmoldova.md, airmoldova.md, High
ATLANTIC AIRWAYS SÚLUBONUS, SÚLUBONUS, ATLANTIC AIRWAYS, atlanticairways.com, atlanticairways.com, High
AIR COTE D'IVOIRE S MILES, S MILES, AIR CÔTE D’IVOIRE, aircotedivoire.com, aircotedivoire.com, High
AIRBLUE BLUEMILES, BLUEMILES, AIRBLUE, airblue.com, airblue.com, High
AURIGNY AIR SERVICES FREQUENT FLYER, FREQUENT FLYER, AURIGNY AIR SERVICES, aurigny.com, aurigny.com, High
PALLADIUM HOTELS PALLADIUM REWARDS, PALLADIUM REWARDS, PALLADIUM HOTEL GROUP, palladiumhotelgroup.com, palladiumhotelgroup.com, High
DAYTON AIRPORT PARK-N-GO REWARDS, PARK-N-GO REWARDS, DAYTON AIRPORT PARK-N-GO, daytonparking.com, daytonparking.com, Medium
KALIGO, KALIGO, KALIGO, kaligo.com, kaligo.com, High
GLORIA HOTELS & RESORTS GLORIAN MEMBER CLUB, GLORIAN MEMBER CLUB, GLORIA HOTELS & RESORTS, gloriahotels.com, gloriahotels.com, High
FUTURE INNS FUTURE CLUB REWARDS, FUTURE CLUB REWARDS, FUTURE INNS, futureinns.co.uk, futureinns.co.uk, Medium
SURINAM AIRWAYS LOYAL WINGS, LOYAL WINGS, SURINAM AIRWAYS, flyslm.com, flyslm.com, High
ROYAL CARIBBEAN CROWN & ANCHOR SOCIETY, CROWN & ANCHOR SOCIETY, ROYAL CARIBBEAN, royalcaribbean.com, royalcaribbean.com, High
NORWEGIAN CRUISE LINE LATITUDES REWARDS, LATITUDES REWARDS, NORWEGIAN CRUISE LINE, ncl.com, ncl.com, High
CARNIVAL VIFP CLUB, VIFP CLUB, CARNIVAL, carnival.com, carnival.com, High
HOLLAND AMERICA LINE MARINER SOCIETY, MARINER SOCIETY, HOLLAND AMERICA LINE, hollandamerica.com, hollandamerica.com, High
PRINCESS CAPTAIN CIRCLE, CAPTAIN CIRCLE, PRINCESS, princess.com, princess.com, High
MSC CRUISES VOYAGERS CLUB, VOYAGERS CLUB, MSC CRUISES, msccruises.com, msccruises.com, High
OCEANIA CRUISES OCEANIA CLUB, OCEANIA CLUB, OCEANIA CRUISES, oceaniacruises.com, oceaniacruises.com, High
REGENT SEVEN SEAS CRUISES SEVEN SEAS SOCIETY, SEVEN SEAS SOCIETY, REGENT SEVEN SEAS CRUISES, rssc.com, rssc.com, High
COSTA CRUISES CLUB, COSTA CLUB, COSTA CRUISES, costacruises.com, costacruises.com, High
